"Organization","City","State","Amount","Status","name"
"CASA OF NEW RIVER, INC","BECKLEY","WV"," $60,000 ","Subaward","West Virginia"
"CASA OF NORTHWEST ARKANSAS","SPRINGDALE","AR"," $50,000 ","Subaward","Arkansas"
"CASA OF NORTHWEST ARKANSAS","SPRINGDALE","AR"," $55,074 ","Subaward","Arkansas"
"CASA OF SOUTHEAST MISSISSIPPI, INC.","PASCAGOULA","MS"," $49,608 ","Subaward","Mississippi"
"CASA OF SOUTHWESTERN ILLINOIS","BELLEVILLE","IL"," $39,968 ","Subaward","Illinois"
"CASA OF SOUTHWESTERN ILLINOIS","BELLEVILLE","IL"," $74,742 ","Subaward","Illinois"
"CASA OF THE EASTERN PANHANDLE, INC","MARTINSBURG","WV"," $58,000 ","Subaward","West Virginia"
"CASA OF THE EASTERN PANHANDLE, INC","MARTINSBURG","WV"," $75,000 ","Subaward","West Virginia"
"CASA OF THE ELEVENTH JUDICIAL CIRCUIT, WV INC.","LEWISBURG","WV"," $59,000 ","Subaward","West Virginia"
"CASA-THE 11TH JUDICIAL CIRCUIT","LEWISBURG","WV"," $45,168 ","Subaward","West Virginia"
"CASA OF THE HEARTLAND","ELIZABETHTOWN","KY"," $33,665 ","Subaward","Kentucky"
"CASA OF THE PIKES PEAK REGION, INC.","COLORADO SPRINGS","CO"," $30,500 ","Subaward","Colorado"
"CASA OF THE TENTH JUDICIAL CIRCUIT","PEORIA","IL"," $87,111 ","Subaward","Illinois"
"CASA, INC.","NASHVILLE","TN"," $64,156 ","Subaward","Tennessee"
"CASA/YOUTH ADVOCATES INC","MEDIA","PA"," $70,000 ","Subaward","Pennsylvania"
"CASA/YOUTH ADVOCATES INC","MEDIA","PA"," $60,502 ","Subaward","Pennsylvania"
"CCB ALLIANCE LLC","STRATFORD","CT"," $21,938 ","Subaward","Connecticut"
"CECIL COUNTY MARYLAND","ELKTON","MD"," $110,000 ","Subaward","Maryland"
"CENTER FOR CHILDREN AND FAMILY FUTURES, INC.","IRVINE","CA"," $49,938 ","Subaward","California"
"CENTER FOR CHILDREN AND FAMILY FUTURES, INC.","IRVINE","CA"," $37,382 ","Subaward","California"
"CENTER FOR CHILDREN'S LAW AND POLICY INC.","WASHINGTON","DC"," $483,943 ","Subaward",NA
"CENTER FOR EMPOWERED POLITICS EDUCATION FUND","SAN FRANCISCO","CA"," $84,859 ","Subaward","California"
"CENTER FOR HEALTH CARE STRATEGIES, INC.","HAMILTON","NJ"," $55,129 ","Subaward","New Jersey"
"CHAPMAN UNIVERSITY","ORANGE","CA"," $115,506 ","Subaward","California"
"CHESTERFIELD CASA, INC.","NORTH CHESTERFIELD","VA"," $50,000 ","Subaward","Virginia"
"CHICAGO ALLIANCE AGAINST SEXUAL EXPLOITATION","CHICAGO","IL"," $202,300 ","Subaward","Illinois"
"CHILD ADVOCATES OF SAN BERNARDINO COUNTY","COLTON","CA"," $100,000 ","Subaward","California"
"CHIPPEWA COUNTY","MONTEVIDEO","MN"," $90,000 ","Subaward","Minnesota"
"CIA SIAB INC","LA CROSSE","WI"," $90,888 ","Subaward","Wisconsin"
"CIA SIAB INC","LA CROSSE","WI"," $3,577 ","Subaward","Wisconsin"
"CINCINNATI WORKS, INC","CINCINNATI","OH"," $250,000 ","Subaward","Ohio"
"CITY OF BETHEL","BETHEL","AK"," $200,000 ","Subaward","Alaska"
"CITY OF COALINGA","COALINGA","CA"," $134,329 ","Subaward","California"
"CITY OF DOUGLAS","DOUGLAS","WY"," $115,036 ","Subaward","Wyoming"
"CITY OF ELIZABETHTON","ELIZABETHTON","TN"," $150,000 ","Subaward","Tennessee"
"CITY OF KEWANEE","KEWANEE","IL"," $200,000 ","Subaward","Illinois"
"CITY OF LONDON","LONDON","OH"," $32,100 ","Subaward","Ohio"
"CITY OF LUBBOCK","LUBBOCK","TX"," $100,000 ","Subaward","Texas"
"CITY OF MARYSVILLE","MARYSVILLE","OH"," $150,000 ","Subaward","Ohio"
"CITY OF MONTICELLO","MONTICELLO","AR"," $96,000 ","Subaward","Arkansas"
"CITY OF PALATKA","PALATKA","FL"," $32,100 ","Subaward","Florida"
"CITY OF SHAWANO","SHAWANO","WI"," $144,061 ","Subaward","Wisconsin"
"CITY OF SISSETON","SISSETON","SD"," $160,000 ","Subaward","South Dakota"
"COLLABORATIVE PLANNING GROUP SYSTEM INC.","MARIETTA","GA"," $400,000 ","Subaward","Georgia"
"COLLABORATIVE SOLUTIONS FOR COMMUNITIES","WASHINGTON","DC"," $80,000 ","Subaward",NA
"COLORADO COURT APPOINTED SPECIAL ADVOCATES, INC.","DENVER","CO"," $97,000 ","Subaward","Colorado"
"COMMUNITY WELLNESS VENTURES LLC","WASHINGTON","DC"," $238,066 ","Subaward",NA
"CONNECTICUT COURT APPOINTED SPECIAL ADVOCATES, INC","NEW HAVEN","CT"," $75,000 ","Subaward","Connecticut"
"CONNECTICUT COURT APPOINTED SPECIAL ADVOCATES, INC","NEW HAVEN","CT"," $123,095 ","Subaward","Connecticut"
"CONNECTICUT COURT APPOINTED SPECIAL ADVOCATES, INC","NEW HAVEN","CT"," $32,000 ","Subaward","Connecticut"
"COOK COUNTY JUVENILE TEMPORARY DETENTION CENTER FOUNDATION","CHICAGO","IL"," $49,068 ","Subaward","Illinois"
"CORPORATION FOR SUPPORTIVE HOUSING","NEW YORK","NY"," $40,000 ","Subaward","New York"
"CORRECTIONS, NEVADA DEPARTMENT OF","CARSON CITY","NV"," $69,771 ","Subaward","Nevada"
"COUNCIL OF JUVENILE JUSTICE ADMINISTRATORS INC.","HINGHAM","MA"," $65,000 ","Subaward","Massachusetts"
"COUNTY OF ASHE ADMINISTRATION","JEFFERSON","NC"," $90,000 ","Subaward","North Carolina"
"COUNTY OF BERNALILLO","ALBUQUERQUE","NM"," $133,650 ","Subaward","New Mexico"
"COUNTY OF BEXAR","SAN ANTONIO","TX"," $98,521 ","Subaward","Texas"
"COUNTY OF BURKE BOARD COMMISSIONERS","WAYNESBORO","GA"," $100,000 ","Subaward","Georgia"
"COUNTY OF DEL NORTE","CRESCENT CITY","CA"," $100,000 ","Subaward","California"
"COUNTY OF DELAWARE","DELAWARE","OH"," $76,083 ","Subaward","Ohio"
"COUNTY OF DOUGLAS","ALEXANDRIA","MN"," $99,990 ","Subaward","Minnesota"
"COUNTY OF MARION","FAIRMONT","WV"," $92,450 ","Subaward","West Virginia"
"COUNTY OF MIFFLIN","LEWISTOWN","PA"," $100,000 ","Subaward","Pennsylvania"
"COUNTY OF ONEIDA","UTICA","NY"," $100,000 ","Subaward","New York"
"COUNTY OF PENOBSCOT","BANGOR","ME"," $96,387 ","Subaward","Maine"
"COUNTY OF ROSEAU","ROSEAU","MN"," $100,000 ","Subaward","Minnesota"
"COUNTY OF SANGAMON","SPRINGFIELD","IL"," $37,348 ","Subaward","Illinois"
"COUNTY OF SNOHOMISH","EVERETT","WA"," $99,800 ","Subaward","Washington"
"COUNTY OF SNOHOMISH","EVERETT","WA"," $92,800 ","Subaward","Washington"
"COUNTY OF SOMERSET","SOMERVILLE","NJ"," $99,782 ","Subaward","New Jersey"
"COUNTY OF SUFFOLK","RIVERHEAD","NY"," $68,503 ","Subaward","New York"
"COUNTY OF UNION","LA GRANDE","OR"," $148,833 ","Subaward","Oregon"
"COURT APPOINTED SPECIAL ADVOCATE","CHICAGO","IL"," $97,000 ","Subaward","Illinois"
"COURT APPOINTED SPECIAL ADVOCATE CASA PRINCE GEORGE'S COUNTY, INC","RIVERDALE","MD"," $75,000 ","Subaward","Maryland"
"COURT APPOINTED SPECIAL ADVOCATE OF ORANGE COUNTY, INC","ORANGE","CA"," $74,200 ","Subaward","California"
"COURT APPOINTED SPECIAL ADVOCATE OF ORANGE COUNTY, INC","ORANGE","CA"," $100,000 ","Subaward","California"
"COURT APPOINTED SPECIAL ADVOCATES INC.","FORT COLLINS","CO"," $69,243 ","Subaward","Colorado"
"COURT APPOINTED SPECIAL ADVOCATES OF ATLANTIC, CAPE MAY, AND CAMDEN COUNTIES INC","SOMERS POINT","NJ"," $42,200 ","Subaward","New Jersey"
"COURT APPOINTED SPECIAL ADVOCATES OF ATLANTIC, CAPE MAY, AND CAMDEN COUNTIES INC","SOMERS POINT","NJ"," $30,000 ","Subaward","New Jersey"
"COURT APPOINTED SPECIAL ADVOCATES OF AUTAUGA COUNTY","PRATTVILLE","AL"," $47,600 ","Subaward","Alabama"
"COURT APPOINTED SPECIAL ADVOCATES OF GALVESTON COUNTY","TEXAS CITY","TX"," $33,900 ","Subaward","Texas"
"COURT APPOINTED SPECIAL ADVOCATES OF KERN COUNTY","BAKERSFIELD","CA"," $95,039 ","Subaward","California"
"COURT APPOINTED SPECIAL ADVOCATES OF MONTGOMERY COUNTY","MONTGOMERY","AL"," $42,900 ","Subaward","Alabama"
"COURT APPOINTED SPECIAL ADVOCATES OF NEW HAMPSHIRE INC","MANCHESTER","NH"," $80,000 ","Subaward","New Hampshire"
"COURT APPOINTED SPECIAL ADVOCATES OF SAN LUIS OBISPO COUNTY INC","SAN LUIS OBISPO","CA"," $34,600 ","Subaward","California"
"COURT APPOINTED SPECIAL ADVOCATES OF SOUTHWEST MISSOURI","SPRINGFIELD","MO"," $50,000 ","Subaward","Missouri"
"COURT APPOINTED SPECIAL ADVOCATES OF TRAVIS COUNTY","AUSTIN","TX"," $41,700 ","Subaward","Texas"
"COURT APPOINTED SPECIAL ADVOCATES OF TRAVIS COUNTY","AUSTIN","TX"," $74,739 ","Subaward","Texas"
"COURT APPOINTED SPECIAL ADVOCATES OF WEST CENTRAL ILLINOIS","GALESBURG","IL"," $30,510 ","Subaward","Illinois"
"COURT-APPOINTED SPECIAL ADVOCATES OF SANTA BARBARA COUNTY","SANTA MARIA","CA"," $40,000 ","Subaward","California"
"COURT-APPOINTED SPECIAL ADVOCATES OF SANTA BARBARA COUNTY","SANTA MARIA","CA"," $72,030 ","Subaward","California"
"CUYAHOGA COUNTY COMMON PLEAS COURT","CLEVELAND","OH"," $115,281 ","Subaward","Ohio"
"DALLAS CASA","DALLAS","TX"," $46,000 ","Subaward","Texas"
"DALLAS CASA","DALLAS","TX"," $72,540 ","Subaward","Texas"
"DEBRA WIENAND","TUCSON","AZ"," $21,938 ","Subaward","Arizona"
"DELANEY CORRECTIONAL CONSULTING GROUP LLC","WAYNESVILLE","NC"," $36,000 ","Subaward","North Carolina"
"DELANEY CORRECTIONAL CONSULTING GROUP LLC","OLNEY","MD"," $13,000 ","Subaward","Maryland"
"DISABILITY RIGHTS OREGON","PORTLAND","OR"," $200,000 ","Subaward","Oregon"
"DUKES COUNTY SHERIFF DEPARTMENT","EDGARTOWN","MA"," $75,000 ","Subaward","Massachusetts"
"DUSON, TOWN OF","DUSON","LA"," $116,480 ","Subaward","Louisiana"
"EAGLE COUNTY GOVERNMENT","GYPSUM","CO"," $155,000 ","Subaward","Colorado"
"EASTERN OHIO CORRECTION CENTER","WINTERSVILLE","OH"," $25,000 ","Subaward","Ohio"
"ELM TRG. LLC","WILLINGTON","CT"," $21,938 ","Subaward","Connecticut"
"EMERGENCY MANAGEMENT ALLIANCE, LLC","BOYNTON BEACH","FL"," $74,935 ","Subaward","Florida"
"ESPERANZA UNITED","SAINT PAUL","MN"," $600,000 ","Subaward","Minnesota"
"F.O.R.G.E. INC.","MILWAUKEE","WI"," $104,763 ","Subaward","Wisconsin"
"F.O.R.G.E. INC.","MILWAUKEE","WI"," $3,577 ","Subaward","Wisconsin"
"FACES & VOICES OF RECOVERY","WASHINGTON","DC"," $75,000 ","Subaward",NA
"FAIR TRIALS AMERICAS","WASHINGTON","DC"," $127,344 ","Subaward",NA
"FAIRMONT, TOWN OF","FAIRMONT","NC"," $154,500 ","Subaward","North Carolina"
"FAMILY RUN EXECUTIVE DIRECTOR LEADERSHIP ASSOCIATION INC","TURNER","ME"," $47,066 ","Subaward","Maine"
"FLETCHER GROUP INC","LONDON","KY"," $200,000 ","Subaward","Kentucky"
"FREDRIC RIEDERS FAMILY RENAISSANCE FOUNDATION","WILLOW GROVE","PA"," $69,748 ","Subaward","Pennsylvania"
"FREEDOM PROJECT","RENTON","WA"," $24,911 ","Subaward","Washington"
"FRIENDS OF FARMWORKERS INC","PHILADELPHIA","PA"," $55,993 ","Subaward","Pennsylvania"
"FUND FOR THE CITY OF NEW YORK, INC.","NEW YORK","NY"," $50,000 ","Subaward","New York"
"FUND FOR THE CITY OF NEW YORK, INC.","NEW YORK","NY"," $67,388 ","Subaward","New York"
"GEORGE MASON UNIVERSITY","FAIRFAX","VA"," $159,345 ","Subaward","Virginia"
"GEORGE MASON UNIVERSITY","FAIRFAX","VA"," $43,369 ","Subaward","Virginia"
"GEORGE MASON UNIVERSITY","FAIRFAX","VA"," $86,922 ","Subaward","Virginia"
"GEORGIA COURT APPOINTED SPECIAL ADVOCATES, INC.","ATLANTA","GA"," $44,200 ","Subaward","Georgia"
"GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION","TAMUNING","GU"," $138,767 ","Subaward",NA
"GRAMBLING STATE UNIVERSITY","GRAMBLING","LA"," $150,000 ","Subaward","Louisiana"
"GRANT CONSULTING SERVICES LLC","VISTA","CA"," $129,063 ","Subaward","California"
"GRANT CONSULTING SERVICES LLC","VISTA","CA"," $324,203 ","Subaward","California"
"GREATER BOSTON LEGAL SERVICES, INC.","BOSTON","MA"," $137,800 ","Subaward","Massachusetts"
"GREENVILLE CITY OFFICE","GREENVILLE","MS"," $150,000 ","Subaward","Mississippi"
"HARNETT, COUNTY OF NORTH CAROLINA","LILLINGTON","NC"," $98,000 ","Subaward","North Carolina"
"HBCU-CAMPUS LAW ENFORCEMENT EXECUTIVES & ADMINISTRATORS, INC.","ATLANTA","GA"," $98,160 ","Subaward","Georgia"
"HEAL MEMPHIS","MEMPHIS","TN"," $250,000 ","Subaward","Tennessee"
"HEART OF MISSOURI CASA","COLUMBIA","MO"," $60,000 ","Subaward","Missouri"
"HEAVY HANDS HEAVY HEARTS FOUNDATION","AURORA","CO"," $200,000 ","Subaward","Colorado"
"HISPANIC AMERICAN POLICE COMMAND OFFICERS ASSOCIATION","SAN ANTONIO","TX"," $68,968 ","Subaward","Texas"
"HOMIES UNIDOS DENVER","DENVER","CO"," $200,000 ","Subaward","Colorado"
"HONORHEALTH","SCOTTSDALE","AZ"," $387,817 ","Subaward","Arizona"
"HUALAPAI TRIBAL COUNCIL","PEACH SPRINGS","AZ"," $92,749 ","Subaward","Arizona"
"IN THE STREETS","WASHINGTON","DC"," $78,163 ","Subaward",NA
"IN THE STREETS","WASHINGTON","DC"," $6,948 ","Subaward",NA
"INDEPENDENT SCHOOL DIST # 625","SAINT PAUL","MN"," $420,000 ","Subaward","Minnesota"
"INDEPENDENT SCHOOL DIST # 625","SAINT PAUL","MN"," $420,000 ","Subaward","Minnesota"
"INSPIRA HEALTH NETWORK, INC.","BRIDGETON","NJ"," $909,744 ","Subaward","New Jersey"
"INTERNATIONAL ASSOCIATION OF CAMPUS LAW ENFORCEMENT ADMINISTRATORS, INC.","SILVER SPRING","MD"," $151,089 ","Subaward","Maryland"
"INTERNATIONAL ASSOCIATION OF CAMPUS LAW ENFORCEMENT ADMINISTRATORS, INC.","SILVER SPRING","MD"," $148,889 ","Subaward","Maryland"
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE","ALEXANDRIA","VA"," $236,835 ","Subaward","Virginia"
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE","ALEXANDRIA","VA"," $100,000 ","Subaward","Virginia"
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE","ALEXANDRIA","VA"," $115,185 ","Subaward","Virginia"
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE","ALEXANDRIA","VA"," $846,614 ","Subaward","Virginia"
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE","ALEXANDRIA","VA"," $209,663 ","Subaward","Virginia"
"INTERNATIONAL ASSOCIATION OF FIRE CHIEFS, INC.","CHANTILLY","VA"," $49,936 ","Subaward","Virginia"
"ISUROON","MINNEAPOLIS","MN"," $29,262 ","Subaward","Minnesota"
"JACKSON COUNTY","MAQUOKETA","IA"," $77,600 ","Subaward","Iowa"
"JACKSON COUNTY CASA","KANSAS CITY","MO"," $73,400 ","Subaward","Missouri"
"JEWELD LEGACY GROUP LLC","OAKLAND","CA"," $50,000 ","Subaward","California"
"JEWELD LEGACY GROUP LLC","OAKLAND","CA"," $21,125 ","Subaward","California"
"JOMOWORKS LLC","TALLAHASSEE","FL"," $150,000 ","Subaward","Florida"
"JUST DETENTION INTERNATIONAL, INC.","LOS ANGELES","CA"," $446,533 ","Subaward","California"
"JUST DETENTION INTERNATIONAL, INC.","LOS ANGELES","CA"," $500,000 ","Subaward","California"
"JUST DETENTION INTERNATIONAL, INC.","LOS ANGELES","CA"," $650,000 ","Subaward","California"
"JUST DETENTION INTERNATIONAL, INC.","LOS ANGELES","CA"," $350,000 ","Subaward","California"
"JUST DETENTION INTERNATIONAL, INC.","LOS ANGELES","CA"," $549,568 ","Subaward","California"
"JUST US FAMILY GROUP HOME","BOGALUSA","LA"," $250,000 ","Subaward","Louisiana"
"JUSTICE FOR FAMILIES, LIMITED","BRONX","NY"," $60,000 ","Subaward","New York"
"JUSTICE INNOVATION INC","NEW YORK","NY"," $150,000 ","Subaward","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY"," $247,773 ","Subaward","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY"," $73,804 ","Subaward","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY"," $150,000 ","Subaward","New York"
"JUSTICE RESEARCH AND STATISTICS ASSOCIATION, INC.","WASHINGTON","DC"," $304,995 ","Subaward",NA
"JUSTICE SYSTEM PARTNERS","RAYNHAM","MA"," $275,000 ","Subaward","Massachusetts"
"JUSTICE SYSTEM PARTNERS","PORTLAND","OR"," $75,425 ","Subaward","Oregon"
"KAN-WIN","PARK RIDGE","IL"," $54,305 ","Subaward","Illinois"
"KAN-WIN","PARK RIDGE","IL"," $3,577 ","Subaward","Illinois"
"KENTUCKY CASA NETWORK, INC","LOUISVILLE","KY"," $35,185 ","Subaward","Kentucky"
"KEYSTONE RESTITUERE JUSTICE CENTER, INC.","LANCASTER","PA"," $275,000 ","Subaward","Pennsylvania"
"KIDS VOICE OF INDIANA INC","INDIANAPOLIS","IN"," $42,528 ","Subaward","Indiana"
"KIDS' VOICE OF INDIANA INC","INDIANAPOLIS","IN"," $45,900 ","Subaward","Indiana"
"KING URBAN LIFE CENTER INC","BUFFALO","NY"," $57,549 ","Subaward","New York"
"KING URBAN LIFE CENTER INC","BUFFALO","NY"," $867 ","Subaward","New York"
"LANE COUNTY OREGON","EUGENE","OR"," $38,190 ","Subaward","Oregon"
"LEE COUNTY SHERIFFS OFFICE","MONTROSE","IA"," $65,140 ","Subaward","Iowa"
"LEGAL ACTION OF WISCONSIN, INC","MILWAUKEE","WI"," $137,800 ","Subaward","Wisconsin"
"LEGAL AID FOUNDATION OF LOS ANGELES","LOS ANGELES","CA"," $137,800 ","Subaward","California"
"LEGAL AID OF ARKANSAS INC","ROGERS","AR"," $137,800 ","Subaward","Arkansas"
"LEGAL AID OF NEBRASKA","OMAHA","NE"," $137,800 ","Subaward","Nebraska"
"LEGAL AID SOCIETY, INC","LOUISVILLE","KY"," $137,800 ","Subaward","Kentucky"
"LEGISLATIVE ANALYSIS AND PUBLIC POLICY ASSOCIATION","CHARLOTTESVILLE","VA"," $15,000 ","Subaward","Virginia"
"LEGISLATIVE ANALYSIS AND PUBLIC POLICY ASSOCIATION","CHARLOTTESVILLE","VA"," $15,000 ","Subaward","Virginia"
"LIFE AFTER HATE INC","CHICAGO","IL"," $251,522 ","Subaward","Illinois"
"LIFE CRISIS CENTER","SALISBURY","MD"," $43,800 ","Subaward","Maryland"
"LINCOLN COUNTY WYOMING","KEMMERER","WY"," $59,776 ","Subaward","Wyoming"
"LIVEFREE OKLAHOMA INCORPORATED","OKLAHOMA CITY","OK"," $1,435,085 ","Subaward","Oklahoma"
"LOGAN COUNTY COMMISSION","LOGAN","WV"," $124,671 ","Subaward","West Virginia"
"LOUISIANA CASA ASSOCIATION","BATON ROUGE","LA"," $112,000 ","Subaward","Louisiana"
"LOUISIANA CASA ASSOCIATION","BATON ROUGE","LA"," $69,900 ","Subaward","Louisiana"
"LYONS CITY OF INC","LYONS","KS"," $104,000 ","Subaward","Kansas"
"MAINEHEALTH","PORTLAND","ME"," $732,533 ","Subaward","Maine"
"MAJOR CITIES CHIEFS ASSOCIATION","SALT LAKE CITY","UT"," $-   ","Subaward","Utah"
"MARYLAND CASA ASSOCIATION","TOWSON","MD"," $75,500 ","Subaward","Maryland"
"MASSACHUSETTS CASA ASSOCIATION INC","BOSTON","MA"," $57,000 ","Subaward","Massachusetts"
